Time,F025,F050,F075,F100
60,1.76,2.76,2.76,3.27
120,3.27,5.53,5.78,7.04
180,5.03,8.29,8.80,10.30
240,6.79,10.81,11.81,13.57
300,8.29,13.57,14.83,16.84
360,10.05,16.59,17.84,20.11
420,11.56,19.35,20.61,23.37
480,13.32,22.12,24.13,26.64
540,15.08,24.63,26.64,29.91
600,16.59,27.39,29.15,33.18
